rebal_date,solver,converged,iterations,elapsed_time,final_residual,relative_residual,condition_number,min_eigenvalue
2023-12-04,PCG_IChol,True,1,0.0001798330049496144,5.205917140253462e-18,1.5283160312799565e-15,244.1684020671227,4.431655414095431e-05
2024-01-04,PCG_IChol,True,1,0.0001863329962361604,4.798154782773702e-18,1.4359679160444105e-15,244.03483836287944,4.380289238467149e-05
2024-02-05,PCG_IChol,True,1,0.0001919170026667416,5.764669025081872e-18,2.185664301011717e-15,236.79054811338423,4.308750883354856e-05
2024-03-06,PCG_IChol,True,1,0.00017670801025815308,5.743663289982673e-18,1.933199148940691e-15,221.85873490903967,4.4160043739073396e-05
2024-04-05,PCG_IChol,True,1,0.00017691700486466289,8.267456663844779e-18,2.979931647005076e-15,217.88534004040486,4.298446155131481e-05
2024-05-06,PCG_IChol,True,1,0.00017845802358351648,6.056327035877578e-18,1.7252667729565555e-15,211.76973285378736,4.2855320590965195e-05
2024-06-05,PCG_IChol,True,1,0.0001793749979697168,6.358547648365354e-18,1.5199798575788172e-15,192.6674764352297,4.35368144521316e-05
2024-07-08,PCG_IChol,True,1,0.00017633300740271807,4.111489200860651e-18,6.560183885001193e-16,182.1670166525521,4.2936072418151374e-05
2024-08-06,PCG_IChol,True,1,0.00017729197861626744,4.623775892663955e-18,1.1790248835985747e-15,197.4005510175328,4.3288973190939324e-05
2024-09-05,PCG_IChol,True,1,0.00017870901501737535,3.420885780345287e-18,7.341648266970271e-16,203.52718513037323,4.252643859884502e-05
2024-10-04,PCG_IChol,True,1,0.00018666600226424634,2.7821988247004854e-18,4.628711361639304e-16,202.94894875795268,4.256204556852012e-05
2024-11-04,PCG_IChol,True,1,0.00018520900630392134,3.179967005009443e-18,5.528053135614472e-16,209.839273944385,3.931085055821816e-05
2024-12-04,PCG_IChol,True,1,0.00018304199329577386,5.7755722727632674e-18,1.158057184590941e-15,191.17210733855572,3.932288908620125e-05
